"""TITRE"";""DESCRIPTION"";""ANNEE DE SORTIE"";""GENRE"";""REALISATEUR""";;
" ""Fight club""; ""Le narrateur, sans identité précise, vit seul, travaille seul dort seul mange seul ses repas pour une personne comme beaucoup d'autres personnes seules qui connaissent la misère humaine, morale et sexuelle. C'est pourquoi il va devenir membre du Fight club, un lieu clandestin ou il va pouvoir retrouver sa virilité son amour propre et la communication""; ""10 novembre 1999"";""thriller drame"";""David Fincher""";;
"""99 FRANCS"";""Octave est le maître du monde : il exerce la profession de publicitaire. Il décide aujourd'hui ce que vous voudrez demain. Pour lui, ""l'homme est un produit comme les autres"". Octave travaille pour la plus grosse agence de pub du monde : Ross & Witchcraft ""La Ross"". Il est couvert d'argent, de filles et de cocaïne. Pourtant, il doute."";""26 septembre 2007"";""drame, thriller"";""Jan Kounen""";;
"""PRINCESSE MONONOKÉ"";""Au 15eme siècle, durant l'ère Muromachi, la forêt japonaise, jadis protégée par des animaux géants, se dépeuple à cause de l'homme. Un sanglier transformé en démon dévastateur en sort et attaque le village d'Ashitaka, futur chef du clan Emishi. Touché par le sanglier qu'il a tué, celui-ci est forcé de partir à la recherche du dieu Cerf pour lever la malédiction qui lui gangrène le bras."";""12 janvier 2000"";""Animation japonaise"";""Hayao Miyazaki""";;
"""Dragon ball evolution""; ""L'histoire de Son Goku et de ses amis librement adaptée en film, il doit faire face à un de ses pires ennemis, Piccolo."";""2009"";""Action"";""James Wong""";;
"""Hot fuzz"";""Le policier Nicholas Angel se retrouve muté dans le petit village de Sandford après avoir ridiculisé ses compères par ses performances hors du commun. Cette bourgade sans intérêt aux premiers abords va rapidement dévoiler de lourds secrets."";""2007"";""Comédie, Policier"";""Edgar Wright""";;
"""Judge Dredd"";""Face à la violence des criminels de ce futur dystopique, la police engage des justiciers brutaux. Suivant les règles à la lettre, le juge Dredd sera trahi par le système qu'il s'était juré de défendre et accusé de meurtre."";""1995"";""Action"";""Danny Cannon""";;
"""How High"";""Deux lascars, Silas et Jamal, cultivent une variété de marijuana qui donne la possibilité à quiconque la consomme d'augmenter exponentiellement son Q.I. L'absorption régulière de cette drogue va leur permettre d'accéder à la prestigieuse université de Harvard."";""2001""""";"Comédie, Fantastique""""";"Jesse Dylan"""""""
"""Pirates des Caraïbes : La Malédiction du Black Pearl"";""Dans la mer des Caraïbes, au XVIIe siècle, Jack Sparrow, flibustier gentleman, voit sa vie idyllique basculer le jour où son ennemi, le perfide capitaine Barbossa, lui vole son bateau, le Black Pearl, puis attaque la ville de Port Royal, enlevant au passage la très belle fille du gouverneur, Elizabeth Swann. L'ami d'enfance de celle-ci, Will Turner, se joint à Jack pour se lancer aux trousses du capitaine. Mais Will ignore qu'une malédiction frappe Barbossa et ses pirates. Lorsque la lune brille, ils se transforment en morts-vivants. Leur terrible sort ne prendra fin que le jour où le fabuleux trésor qu'ils ont amassé sera restitué..."";""2003"";""Fantastique, Aventure, Film de pirates"";""Gore Verbinski""";;
"""Tenet"";"": Muni d'un seul mot – Tenet – et décidé à se battre pour sauver le monde, notre protagoniste sillonne l'univers crépusculaire de l'espionnage international. Sa mission le projettera dans une dimension qui dépasse le temps. Pourtant, il ne s'agit pas d'un voyage dans le temps, mais d'un renversement temporel…"";""2020"";""Science-fiction"";""Christopher Nolan""";;
"""The Dark Knight : Le Chevalier noir"";""Second volet de la trilogie Dark Knight, Batman avec l'appui du lieutenant de police Jim Gordon et du procureur de Gotham, Harvey Dent, cherche � mettre un terme au crime organis� qui pullule dans la ville. C'�tait sans compter l'arriv� d'un bouffon d�rang� dans le milieu."";""2008"";""thriller, action, aventures"";""Christopher Nolan""";;
"""Le Seigneur des anneaux : Le Retour du roi"";""Les arm�es de Sauron ont attaqu� Minas Tirith, la capitale de Gondor. Apr�s une charge h�ro�que des Rohirrim sur les champs du Pelennor et malgr� de lourdes pertes, la Communaut� se jette dans la bataille pour la vie pour d�tourner l'attention de Sauron afin de donner � Frodon une chance d'enfin accomplir sa qu�te."";""2003"";""fantasy"";""Peter Jackson""";;
"""L'Arm�e des morts"";""Ana et d'autres survivants se barricadent dans un centre commercial, pas pour faire du shopping mais pour survivre � une horde de morts vivants assoif�s de sang."";""2004"";""horreur"";""Zack Snyder""";;
